Datasets,0.047632445456408767,0.050724755360278095,0.19918206223757995,0.29442653835248134,0.41964098075459066,0.45084110661256549,0.75045566955509369,0.86647638573282482,0.87574121960825835,0.97318473920207271
AIDS,0.981,0.981,0.9975,0.998,0.999,0.999,0.999,0.9985,0.9985,0.998
BZR,0.9975308641975309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COX2,0.9250535331905781,0.9464668094218416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DHFR,0.9814814814814815,0.9828042328042328,0.996031746031746,0.9986772486772487,1.0,0.9986772486772487,0.9986772486772487,0.996031746031746,0.996031746031746,0.9933862433862434
DD,1.0,1.0,1.0,1.0,0.9957555178268251,0.9915110356536503,0.668081494057725,0.38030560271646857,0.3531409168081494,0.18845500848896435
ENZYMES,0.9766666666666667,0.98,0.9916666666666667,0.9933333333333333,0.9966666666666667,0.995,0.9916666666666667,0.9883333333333333,0.9883333333333333,0.9833333333333333
FRANKENSTEIN,0.9804011989854738,0.9827069402813005,0.998616555222504,0.9988471293520867,0.9993082776112521,0.9993082776112521,0.9990777034816694,0.9990777034816694,0.9990777034816694,0.9990777034816694
IMDB_BINARY,1.0,1.0,1.0,1.0,0.999,0.999,0.997,0.994,0.994,0.991
IMDB_MULTI,1.0,1.0,1.0,1.0,1.0,1.0,0.9946666666666667,0.9926666666666667,0.9926666666666667,0.9886666666666667
MSRC_9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSRC_21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSRC_21C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MUTAG,0.9627659574468085,0.9627659574468085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mutagenicity,0.9522711551763892,0.9573437860272077,0.9970025363154255,0.9983859810929214,0.998616555222504,0.998616555222504,0.9981554069633387,0.9965413880562601,0.9960802397970948,0.9940050726308508
NCI1,0.9481751824817518,0.954014598540146,0.9912408759124087,0.9934306569343065,0.9958637469586374,0.9963503649635036,0.9951338199513382,0.9936739659367396,0.9939172749391727,0.9931873479318735
NCI109,0.9483886600436152,0.9505694208868427,0.9915192633874486,0.9944269445117518,0.9970923188756966,0.9973346256360552,0.9961230918342622,0.9944269445117518,0.9949115580324691,0.993700024230676
PROTEINS,0.97214734950584,0.9730458221024259,0.995507637017071,0.9982030548068284,0.9982030548068284,0.9982030548068284,0.9928122192273136,0.9856244384546271,0.9865229110512129,0.9784366576819407
PTC_FM,0.9885386819484241,0.9885386819484241,0.994269340974212,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PTC_FR,0.9886039886039886,0.9886039886039886,0.9943019943019943,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PTC_MM,0.9851190476190477,0.9851190476190477,0.9910714285714286,0.9970238095238095,1.0,1.0,1.0,1.0,1.0,1.0
PTC_MR,0.9854651162790697,0.9854651162790697,0.9912790697674418,0.997093023255814,1.0,1.0,1.0,1.0,1.0,1.0
REDDIT_BINARY,0.9995,0.9995,0.998,0.9935,0.944,0.932,0.8465,0.8175,0.813,0.782
SYNTHETICnew,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Synthie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tox21_AR,0.9740440076906643,0.9755394146549883,0.9965819269386883,0.9976500747703482,0.9982909634693442,0.9982909634693442,0.9985045930356762,0.9983977782525102,0.9983977782525102,0.9981841486861782
Tox21_AhR,0.9729465050801812,0.9746603011384503,0.9968172358917861,0.9979189619292447,0.9985310319500551,0.9985310319500551,0.9986534459542171,0.9986534459542171,0.9986534459542171,0.9985310319500551
